State_Name,GDP_md
Alabama,210954
Arizona,319850
Arkansas,124918
California,2746873
Colorado,342748
Connecticut,260827
Delaware,73541
District of Columbia,131010
Florida,967337
Georgia,554269
Idaho,71886
Illinois,820362
Indiana,359122
Iowa,190191
Kansas,157797
Kentucky,202507
Louisiana,246264
Maine,61404
Maryland,393632
Massachusetts,527455
Michigan,504967
Minnesota,351113
Mississippi,111707
Missouri,304898
Montana,48098
Nebraska,121774
Nevada,156313
New Hampshire,80516
New Jersey,591743
New Mexico,97090
New York,1547116
North Carolina,538291
North Dakota,55493
Ohio,649127
Oklahoma,189160
Oregon,236219
Pennsylvania,752071
Rhode Island,59458
South Carolina,219093
South Dakota,49928
Tennessee,345218
Texas,1696206
Utah,165526
Vermont,32197
Virginia,508662
Washington,506353
West Virginia,76794
Wisconsin,324061
Wyoming,40286